circuit,country
Albert Park Grand Prix Circuit,Australia
Sepang International Circuit,Malaysia
Shanghai International Circuit,China
Bahrain International Circuit,Bahrain
Circuit de Barcelona-Catalunya,Spain
Circuit de Monaco,Monaco
Istanbul Park,Turkey
Silverstone Circuit,UK
Nürburgring,Germany
Hungaroring,Hungary
Circuit de Spa-Francorchamps,Belgium
Autodromo Nazionale di Monza,Italy
Marina Bay Street Circuit,Singapore
Suzuka Circuit,Japan
Autódromo José Carlos Pace,Brazil
Yas Marina Circuit,UAE
Circuit Gilles Villeneuve,Canada
Hockenheimring,Germany
Autodromo Enzo e Dino Ferrari,Italy
Korean International Circuit,Korea
Sochi Autodrom,Russia
Baku City Circuit,Azerbaijan
Red Bull Ring,Austria
Circuit of the Americas,USA
Autódromo Hermanos Rodríguez,Mexico
Circuit Paul Ricard,France
Buddh International Circuit,India
Autodromo Internazionale del Mugello,Italy
Autódromo Internacional do Algarve,Portugal
Jeddah Corniche Circuit,Saudi Arabia
Losail International Circuit,Qatar
Circuit Park Zandvoort,Netherlands
Valencia Street Circuit,Spain
Circuit de Nevers Magny-Cours,France
Fuji Speedway,Japan
Indianapolis Motor Speedway,USA
A1-Ring,Austria
