fullname,driver_nationality,dob,driver_dnf
Lewis Hamilton,UK,1985-01-07,0.0412371134020618
Valtteri Bottas,Finnish,1989-08-28,0.0714285714285714
George Russell,UK,1998-02-15,0.0952380952380952
Fernando Alonso,Spain,1981-07-29,0.1366459627329192
Daniel Ricciardo,Australia,1989-07-01,0.1367924528301886
Kevin Magnussen,Danish,1992-10-05,0.1475409836065573
Carlos Sainz,Spain,1994-09-01,0.1188811188811188
Esteban Ocon,France,1996-09-17,0.0989010989010989
Lance Stroll,Canada,1998-10-29,0.0679611650485436
Alexander Albon,Thai,1996-03-23,0.05
Nicholas Latifi,Canada,1995-06-29,0.0476190476190476
Sergio Pérez,Mexico,1990-01-26,0.0829493087557603
Lando Norris,UK,1999-11-13,0.0793650793650793
Sebastian Vettel,Germany,1987-07-03,0.0821428571428571
Charles Leclerc,Monaco,1997-10-16,0.0476190476190476
Max Verstappen,Netherlands,1997-09-30,0.1111111111111111
Pierre Gasly,France,1996-02-07,0.125
Yuki Tsunoda,Japan,2000-05-11,0.16
Guanyu Zhou,China,1999-05-30,0.0
Mick Schumacher,Germany,1999-03-22,0.0833333333333333
